"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"2","LD","LDBS","10","10","D","1","D1","D1","D","1","12","P","1","0","0",0.116666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.047923552446823,0.785281266171555,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","1","13","D","1","D1","B2","B","2","25","D","1","1","1",0.066666667,1,5,6,1,1,"02-Aug-13",214,"15-Aug-13",227,13,2,0.0280287237359606,0.752772652930485,25.5,0.301029995663981,1.22474487139159,1,0.778151250383644,2.34520787991171,2,0.301029995663981,1.22474487139159,1.5,2.33243845991561,14.6458185158768,2.5,1.14612803567824,3.67423461417477,1,0.477121254719662,1.58113883008419,1
"7","LD","HD","1","11","D","1","D1","D2","D","2","14","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","1","9","D","1","D1","M1","M","1","2","D","1","1","1",0.033333333,NA,4,NA,NA,1,"",NA,"15-Aug-13",227,NA,4,0.0142404389745153,0.730296743112004,22,NA,NA,NA,0.698970004336019,2.12132034355964,1,0.301029995663981,1.22474487139159,1.5,NA,NA,NA,NA,NA,NA,0.698970004336019,2.12132034355964,2
"7","LD","HD","1","16","D","1","D1","D1","D","1","11","P","1","0","0",0.066666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0280287237359606,0.752772652930485,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","14","D","1","D1","M1","M","1","20","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","20","D","1","D1","M1","M","1","11","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","24","D","1","D1","M1","M","1","19","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","6","D","1","D1","D2","D","2","24","P","1","0","0",0.0625,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0263289387223491,0.75,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","10","D","1","D1","D1","D","1","14","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","21","D","1","D1","D2","D","2","13","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","18","D","1","D1","D2","D","2","7","P","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","19","D","1","D1","M1","M","1","2","D","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","14","D","1","D1","D2","D","2","8","P","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","4","13","D","1","D1","D2","D","2","10","P","1","1","0",0,3,NA,5,1,NA,"02-Aug-13",214,"",NA,NA,NA,0,0.707106781186548,9,0.602059991327962,1.87082869338697,2.5,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,2.5,NA,NA,NA,NA,NA,NA
"7","LD","HD","4","11","D","1","D1","D1","D","1","25","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","9","5","D","1","D1","D2","D","2","5","D","1","1","0",0.25,4.5,NA,6,1,NA,"02-Aug-13",214,"",NA,NA,NA,0.0969100130080564,0.866025403784439,30,0.740362689494244,2.23606797749979,4,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,2.5,NA,NA,NA,NA,NA,NA
"7","LD","HD","9","12","D","1","D1","D1","D","1","11","D","1","0","0",0.125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0511525224473813,0.790569415042095,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","10","1","D","1","D1","D1","D","1","23","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
